Driver_ID,Name,Age,Country,Team,Championships,Races,Wins,Podiums,Career_Points,Fastest_Laps,Pole_Positions,Salary_Million_USD
1,Mick Magnussen,21,Mexico,Haas,3,315,93,147,3791,52,81,43.4
2,Max Sargeant,29,France,Williams,4,184,30,36,3322,2,55,37.9
3,Lewis Piastri,20,Australia,Williams,6,237,96,171,882,25,63,43.8
4,George Sargeant,33,Italy,Red Bull,6,232,80,140,465,55,10,57.4
5,Kevin Sargeant,37,Italy,Mercedes,6,336,48,63,4277,16,10,55.7
6,Valtteri Hamilton,21,Spain,Ferrari,3,231,81,128,2503,13,61,6.9
7,Mick Alonso,42,Spain,Aston Martin,0,19,70,146,1710,26,69,2.1
8,Esteban Perez,40,UK,McLaren,6,196,80,110,4601,33,78,54.9
9,Yuki Bottas,40,Spain,Haas,5,260,117,164,3544,56,13,16.1
10,Kevin Gasly,21,China,Alpine,6,42,32,42,678,17,87,45.0
11,Lewis Albon,25,Monaco,Alpine,3,16,105,132,1594,48,58,34.4
12,Daniel Russell,19,Australia,Haas,2,270,71,150,4657,17,22,1.7
13,Daniel Gasly,35,Spain,Ferrari,1,75,26,100,1600,22,77,50.3
14,Charles Gasly,37,Canada,RB,5,307,69,101,1725,3,76,59.0
15,Zhou Verstappen,20,Spain,Aston Martin,1,90,79,94,3910,22,65,51.8
16,Fernando Sainz,29,Spain,McLaren,6,246,31,79,1793,17,59,2.9
17,Pierre Guanyu,22,Spain,Ferrari,3,344,53,102,625,45,37,9.7
18,Carlos Sainz,26,Spain,McLaren,5,261,87,153,3257,53,46,36.9
19,Zhou Hulkenberg,39,Canada,RB,5,93,38,50,2868,35,13,44.2
20,Fernando Albon,41,Finland,Red Bull,7,261,33,75,3966,30,67,2.1
21,Sergio Magnussen,30,UK,Mercedes,3,312,90,138,445,55,93,7.4
22,Logan Verstappen,32,Netherlands,Williams,5,94,114,124,2896,35,57,2.9
23,Mick Norris,27,Monaco,RB,2,283,101,109,3940,53,64,14.9
24,Esteban Piastri,21,Brazil,Alpine,3,265,80,98,967,15,68,2.6
25,Lando Bottas,36,Australia,Williams,0,101,96,147,2089,32,24,47.5
26,Zhou Sargeant,42,UK,Alpine,6,85,6,57,287,59,86,5.9
27,Lewis Guanyu,39,France,Haas,7,336,73,123,4375,25,69,32.2
28,Nico Ricciardo,22,Brazil,McLaren,4,85,76,97,981,36,81,17.5
29,Kevin Albon,34,Japan,Red Bull,6,248,95,130,3167,40,42,7.8
30,Lewis Guanyu,31,Thailand,Ferrari,5,196,69,112,1301,3,33,18.0
31,Pierre Piastri,30,Australia,Kick Sauber,4,308,46,100,3838,17,76,21.9
32,Lewis Magnussen,26,Thailand,Alpine,6,41,42,74,1955,31,92,30.7
33,Kevin Guanyu,30,Spain,Ferrari,6,313,90,93,1358,22,75,22.1
34,Alex Hulkenberg,19,Canada,RB,0,129,13,29,716,46,85,20.7
35,Sergio Schumacher,19,Monaco,McLaren,1,301,107,109,2551,30,16,12.6
36,Daniel Verstappen,32,France,Williams,6,124,47,110,4976,30,49,41.0
37,Esteban Perez,36,Monaco,Red Bull,1,267,24,104,324,2,91,29.9
38,George Ocon,22,Canada,Haas,1,193,4,56,3149,30,33,17.5
39,Valtteri Norris,20,France,Ferrari,5,157,88,94,4630,10,52,19.7
40,Carlos Ricciardo,34,Finland,Kick Sauber,5,13,57,83,4488,58,92,4.3
41,Alex Sargeant,37,Brazil,Haas,2,307,21,87,1103,57,44,41.2
42,Logan Ocon,38,Monaco,Red Bull,4,217,46,87,1236,6,41,50.5
43,Lewis Hulkenberg,26,Australia,Ferrari,5,239,89,149,2558,8,95,22.8
44,Lewis Albon,26,UK,Aston Martin,4,324,77,123,2928,16,74,46.1
45,Charles Gasly,36,Spain,Ferrari,6,271,82,109,3527,54,15,47.0
46,Esteban Verstappen,32,Italy,Red Bull,7,168,115,164,2444,51,62,2.0
47,Daniel Guanyu,37,Monaco,Aston Martin,7,175,36,48,3711,36,86,21.1
48,Lewis Perez,21,Germany,Williams,4,326,59,96,539,20,7,1.7
49,Max Hamilton,38,Brazil,Ferrari,0,12,110,139,376,35,75,43.7
50,George Alonso,38,Japan,Ferrari,0,89,51,102,293,49,72,59.6
51,Oscar Magnussen,37,Thailand,Haas,4,211,68,121,1250,29,39,23.4
52,Kevin Bottas,23,Brazil,Kick Sauber,5,284,13,13,1015,43,12,16.5
53,Fernando Perez,31,Mexico,Aston Martin,2,75,37,42,937,3,74,20.8
54,Max Verstappen,22,China,Mercedes,6,207,114,150,4944,37,11,9.3
55,Pierre Bottas,35,Italy,Red Bull,7,125,104,124,22,28,7,44.1
56,Kevin Bottas,39,Mexico,Haas,7,255,98,107,4090,2,83,14.4
57,Sergio Verstappen,26,Spain,Aston Martin,2,144,106,176,4394,12,87,40.7
58,Sergio Guanyu,36,Australia,McLaren,2,36,93,129,1850,12,70,38.3
59,George Schumacher,36,Germany,McLaren,7,49,72,141,1972,45,37,40.1
60,Alex Magnussen,28,China,McLaren,4,47,113,177,717,31,9,31.7
61,Fernando Magnussen,42,Japan,Mercedes,7,104,30,102,3434,12,59,57.4
62,Nico Ricciardo,37,Australia,McLaren,1,259,100,130,1167,38,30,11.0
63,Charles Verstappen,34,Canada,McLaren,6,85,10,36,3256,7,41,59.3
64,Alex Leclerc,31,China,Aston Martin,4,330,15,45,891,30,50,9.4
65,Max Hulkenberg,41,Italy,Williams,6,94,87,145,2856,13,0,13.4
66,Oscar Guanyu,41,Spain,Ferrari,6,132,72,117,2621,12,48,11.4
67,Yuki Tsunoda,18,Canada,Haas,3,58,40,116,897,58,86,53.2
68,Lewis Russell,22,China,Haas,2,154,24,69,1644,29,82,26.0
69,Sergio Verstappen,33,Germany,Haas,6,279,29,88,4363,20,7,9.5
70,Sergio Hulkenberg,29,Mexico,Kick Sauber,3,339,88,120,1252,55,25,42.4
71,Oscar Perez,29,Germany,Haas,6,62,34,110,3387,51,32,34.3
72,Nico Guanyu,28,China,Mercedes,5,268,1,61,3474,56,38,3.9
73,Lando Gasly,42,Monaco,RB,4,187,80,158,3000,37,49,1.7
74,Lewis Albon,42,Spain,RB,6,59,91,156,242,57,96,11.7
75,Esteban Alonso,39,Monaco,Alpine,1,105,90,148,3322,23,92,9.1
76,Yuki Norris,25,Thailand,Williams,2,170,2,13,98,50,99,12.9
77,Mick Hamilton,22,Italy,Williams,5,42,48,65,2255,32,29,43.9
78,Oscar Magnussen,32,Japan,Mercedes,4,226,108,113,282,25,88,46.9
79,Lando Albon,20,Brazil,Kick Sauber,6,52,27,104,4089,35,33,5.2
80,Zhou Ocon,34,Netherlands,Kick Sauber,6,181,52,58,4337,35,3,42.2
81,Oscar Albon,38,France,Ferrari,1,213,111,121,1939,51,54,13.0
82,Yuki Magnussen,19,UK,Alpine,2,108,7,53,3958,21,26,53.7
83,Alex Norris,18,Netherlands,Alpine,2,103,22,43,4126,20,78,17.8
84,Lewis Russell,42,Monaco,Aston Martin,5,199,46,62,2373,59,13,17.1
