Name,Age,Country,Player_Type,Price_Crore_INR,Runs,Wickets,Average,Strike_Rate
Virat Kohli,35,India,Batter,21.0,8004,4,38.7,131.9
Rohit Sharma,38,India,Batter,16.3,6628,15,29.7,131.1
MS Dhoni,44,India,Wicketkeeper Batter,12.0,5243,0,39.1,137.5
Hardik Pandya,32,India,All-rounder,15.0,2525,64,28.1,145.8
Ravindra Jadeja,37,India,All-rounder,16.0,2959,160,27.9,129.8
Jasprit Bumrah,33,India,Bowler,12.0,69,165,8.6,82.1
KL Rahul,34,India,Wicketkeeper Batter,17.0,4683,0,46.4,134.5
Suryakumar Yadav,35,India,Batter,16.4,3594,0,33.6,145.3
Shubman Gill,27,India,Batter,18.0,3216,0,37.8,135.7
Rishabh Pant,29,India,Wicketkeeper Batter,16.0,3284,0,34.2,148.9
Yuzvendra Chahal,36,India,Bowler,18.0,37,205,5.2,89.2
Mohammed Siraj,32,India,Bowler,9.0,28,93,4.5,76.0
Arshdeep Singh,28,India,Bowler,8.0,11,76,3.4,72.5
Ishan Kishan,28,India,Wicketkeeper Batter,15.2,2644,0,29.0,135.2
Sanju Samson,31,India,Wicketkeeper Batter,14.0,4419,0,31.8,139.1
Jos Buttler,36,England,Wicketkeeper Batter,15.8,3907,0,38.6,147.8
Ben Stokes,35,England,All-rounder,16.2,935,28,24.6,134.9
Sam Curran,28,England,All-rounder,18.5,883,58,23.1,136.4
Jonny Bairstow,36,England,Batter,6.7,1789,0,34.4,144.2
Jofra Archer,31,England,Bowler,8.0,46,48,7.1,81.0
David Warner,39,Australia,Batter,6.2,6565,0,40.0,139.8
Pat Cummins,33,Australia,Bowler,20.5,422,63,18.3,151.2
Mitchell Starc,36,Australia,Bowler,24.8,98,61,10.2,95.5
Glenn Maxwell,38,Australia,All-rounder,11.0,2771,37,25.1,156.7
Marcus Stoinis,37,Australia,All-rounder,11.0,1866,43,28.3,142.5
Travis Head,33,Australia,Batter,14.0,1147,2,35.8,149.6
Faf du Plessis,41,South Africa,Batter,7.0,4652,0,35.0,136.4
AB de Villiers,42,South Africa,Wicketkeeper Batter,11.0,5162,0,39.7,151.7
Kagiso Rabada,32,South Africa,Bowler,9.2,242,119,9.0,88.8
Quinton de Kock,34,South Africa,Wicketkeeper Batter,6.8,3290,0,31.9,134.1
Rashid Khan,28,Afghanistan,Bowler,15.0,524,149,14.8,158.4
Rahmanullah Gurbaz,26,Afghanistan,Wicketkeeper Batter,5.5,812,0,27.1,140.5
Sunil Narine,38,West Indies,All-rounder,12.0,1687,180,17.4,165.3
Andre Russell,38,West Indies,All-rounder,12.0,2484,115,29.2,174.5
Nicholas Pooran,31,West Indies,Wicketkeeper Batter,16.0,2143,0,31.0,157.8
Shimron Hetmyer,30,West Indies,Batter,8.5,1247,0,30.4,150.7
Trent Boult,37,New Zealand,Bowler,8.0,89,121,8.4,92.0
Kane Williamson,36,New Zealand,Batter,2.0,2128,0,36.7,126.5
Lockie Ferguson,35,New Zealand,Bowler,10.0,67,49,6.4,85.1
Dwayne Bravo,43,West Indies,All-rounder,4.4,1560,183,22.6,129.6
Chris Gayle,46,West Indies,Batter,2.0,4965,18,39.7,148.9
Lasith Malinga,43,Sri Lanka,Bowler,1.5,88,170,7.1,90.3
Maheesh Theekshana,27,Sri Lanka,Bowler,7.0,22,41,5.0,79.4
Matheesha Pathirana,24,Sri Lanka,Bowler,13.0,8,41,3.7,73.0
Bhuvneshwar Kumar,36,India,Bowler,10.75,320,181,13.5,96.1
Axar Patel,32,India,All-rounder,9.0,1653,123,21.8,130.0
Tilak Varma,24,India,Batter,8.0,1156,0,39.8,144.1
Ruturaj Gaikwad,29,India,Batter,18.0,2380,0,41.0,136.8
Deepak Chahar,34,India,Bowler,14.0,89,81,12.4,104.0
Kuldeep Yadav,32,India,Bowler,2.0,77,87,9.8,84.3
